status,accident_index,accident_year,accident_reference,vehicle_reference,vehicle_type,vehicle_text
Unvalidated,202234WNC2732,2022,34WNC2732,2,90,Scooter - Electric Scooter
Unvalidated,202234WNC3092,2022,34WNC3092,1,90,Scooter - Electric Scooter
Unvalidated,202234WNC3802,2022,34WNC3802,2,90,Scooter - Electric Scooter
Unvalidated,202234WNC4222,2022,34WNC4222,1,90,Scooter - Electric Scooter
Unvalidated,2022351139154,2022,351139154,1,90,Scooter - Electric Scooter
Unvalidated,2022351149677,2022,351149677,1,90,Scooter - Electric Scooter
Unvalidated,2022351161204,2022,351161204,2,90,Scooter - Electric Scooter
Unvalidated,2022351161627,2022,351161627,2,90,Scooter - Electric Scooter
Unvalidated,2022351171288,2022,351171288,1,90,Scooter - Electric Scooter
Unvalidated,2022351181716,2022,351181716,1,90,Scooter - Electric Scooter
Unvalidated,2022351181848,2022,351181848,1,90,Scooter - Electric Scooter
Unvalidated,2022351183335,2022,351183335,2,90,Scooter - Electric Scooter
Unvalidated,2022351183582,2022,351183582,2,90,Scooter - Electric Scooter
Unvalidated,2022351187540,2022,351187540,1,90,Scooter - Electric Scooter
Unvalidated,2022351188863,2022,351188863,2,90,Scooter - Electric Scooter
Unvalidated,2022351189826,2022,351189826,2,90,Scooter - Electric Scooter
Unvalidated,2022351190550,2022,351190550,1,90,Scooter - Electric Scooter
Unvalidated,2022351192871,2022,351192871,2,90,Scooter - Electric Scooter
Unvalidated,2022010376374,2022,010376374,2,90,Scooter - Electric Scooter
Unvalidated,2022010376459,2022,010376459,2,90,Scooter - Electric Scooter
Unvalidated,2022010376580,2022,010376580,1,90,Scooter - Electric Scooter
Unvalidated,2022010376752,2022,010376752,2,90,Scooter - Electric Scooter
Unvalidated,2022010376898,2022,010376898,1,90,Scooter - Electric Scooter
Unvalidated,2022010376957,2022,010376957,2,90,Scooter - Electric Scooter
Unvalidated,2022010376962,2022,010376962,1,90,Scooter - Electric Scooter
Unvalidated,2022010376969,2022,010376969,2,90,Scooter - Electric Scooter
Unvalidated,2022010376985,2022,010376985,2,90,Scooter - Electric Scooter
